rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,train/loss,train/n_updates,train/learning_rate
1.36,992,186.97,2786,0.8261727999999998,182976,65,0.00543146813288331,16621,0.0005
1.33,996,186.01,2785,0.8253215999999995,183872,66,0.009098587557673454,16733,0.0005
1.36,1000,187.45,2785,0.8245008000000003,184736,66,0.0007749794167466462,16841,0.0005
1.39,1004,188.42,2784,0.8238319999999999,185440,66,0.0012892880477011204,16929,0.0005
1.38,1008,188.27,2783,0.8230720000000002,186240,66,0.0001820260367821902,17029,0.0005
1.4,1012,188.85,2783,0.8226768000000005,186656,67,0.0032033445313572884,17081,0.0005
1.39,1016,188.33,2782,0.8216128000000005,187776,67,0.00038057041820138693,17221,0.0005
1.42,1020,189.65,2782,0.8210731999999997,188344,67,0.0018566589569672942,17292,0.0005
1.42,1024,189.4,2781,0.8203284000000004,189128,67,0.03078409843146801,17390,0.0005
1.43,1028,189.36,2781,0.8198267999999997,189656,68,0.0005145767936483026,17456,0.0005
1.43,1032,189.85,2780,0.8189604000000001,190568,68,0.004579528700560331,17570,0.0005
1.45,1036,191.11,2780,0.8181092,191464,68,0.0002558626583777368,17682,0.0005
1.43,1040,190.12,2779,0.8175392000000004,192064,69,0.010876402258872986,17757,0.0005
1.45,1044,191.36,2779,0.8167031999999996,192944,69,0.00010719840065576136,17867,0.0005
1.5,1048,192.94,2778,0.8162928000000005,193376,69,0.0011409744620323181,17921,0.0005
1.5,1052,193.18,2778,0.815434,194280,69,0.001942586386576295,18034,0.0005
1.46,1056,191.88,2777,0.8146360000000002,195120,70,0.0002723619109019637,18139,0.0005
1.46,1060,192.16,2777,0.8140584000000005,195728,70,0.003339349990710616,18215,0.0005
1.47,1064,192.6,2776,0.8133972000000005,196424,70,0.0007323197787627578,18302,0.0005
1.43,1068,191.18,2776,0.8125004,197368,71,0.0007004328654147685,18420,0.0005
1.46,1072,191.79,2775,0.8117251999999999,198184,71,0.0005659273592755198,18522,0.0005
1.5,1076,192.95,2775,0.8109119999999996,199040,71,0.00017951219342648983,18629,0.0005
1.47,1080,192.0,2775,0.8103344,199648,71,0.0014221835881471634,18705,0.0005
1.42,1084,190.39,2774,0.8095288,200496,72,0.00010425198706798255,18811,0.0005
1.36,1088,188.52,2774,0.8093007999999998,200736,72,0.00028461203328333795,18841,0.0005
1.33,1092,186.95,2773,0.8080543999999998,202048,72,0.001267884741537273,19005,0.0005
1.38,1096,188.5,2773,0.8077428000000003,202376,72,0.0006277319043874741,19046,0.0005
1.31,1100,185.88,2772,0.8067243999999996,203448,73,0.00017996440874412656,19180,0.0005
1.37,1104,188.39,2772,0.8057592000000002,204464,73,0.0029641485307365656,19307,0.0005
1.35,1108,187.57,2772,0.8053715999999996,204872,73,0.0012958049774169922,19358,0.0005
1.34,1112,187.31,2771,0.8046419999999997,205640,74,0.0007401872426271439,19454,0.0005
1.35,1116,188.31,2770,0.8037527999999995,206576,74,0.08407573401927948,19571,0.0005
1.33,1120,187.84,2770,0.8031295999999996,207232,74,0.0016442656051367521,19653,0.0005
1.38,1124,189.52,2769,0.8022935999999997,208112,75,0.0007982923416420817,19763,0.0005
1.36,1128,188.76,2769,0.8018376000000004,208592,75,0.0007127061253413558,19823,0.0005
1.36,1132,188.82,2768,0.8011308,209336,75,0.001646737800911069,19916,0.0005
1.34,1136,187.33,2768,0.8005608000000005,209936,75,0.0019565606489777565,19991,0.0005
1.31,1140,186.3,2768,0.7997020000000001,210840,76,0.0016881652409210801,20104,0.0005
1.33,1144,186.57,2767,0.7991092,211464,76,6.720122473780066e-05,20182,0.0005
1.29,1148,185.52,2767,0.7981895999999998,212432,76,0.006859066430479288,20303,0.0005
1.36,1152,188.4,2767,0.7974523999999997,213208,77,0.0012472160160541534,20400,0.0005
1.35,1156,187.65,2766,0.7970419999999996,213640,77,0.00843282975256443,20454,0.0005
1.37,1160,188.69,2766,0.7958335999999996,214912,77,0.0009230594732798636,20613,0.0005
1.4,1164,189.79,2766,0.7950584000000005,215728,77,0.0006099676829762757,20715,0.0005
1.46,1168,192.58,2766,0.794268,216560,78,0.0006679456564597785,20819,0.0005
1.45,1172,192.85,2765,0.7934700000000002,217400,78,0.0004524540272541344,20924,0.0005
1.42,1176,191.67,2765,0.7928924000000004,218008,78,0.0016714781522750854,21000,0.0005
1.45,1180,192.12,2765,0.7920792000000003,218864,79,0.0005955397500656545,21107,0.0005
1.39,1184,189.69,2764,0.7915244000000001,219448,79,0.0008978589321486652,21180,0.0005
1.42,1188,190.94,2764,0.7908328000000002,220176,79,0.00037994515150785446,21271,0.0005
1.44,1192,191.76,2764,0.7900272000000004,221024,79,0.0004105273401364684,21377,0.0005
1.43,1196,191.17,2763,0.7891987999999998,221896,80,0.05931691452860832,21486,0.0005
1.47,1200,192.67,2763,0.7886819999999997,222440,80,0.0007363718468695879,21554,0.0005
1.37,1204,188.57,2763,0.7877472000000001,223424,80,0.0018458873964846134,21677,0.0005
1.41,1208,190.52,2762,0.7871620000000001,224040,81,0.0016407807124778628,21754,0.0005
1.47,1212,192.39,2762,0.7860904,225168,81,0.00041767742368392646,21895,0.0005
1.47,1216,192.24,2762,0.7859612000000005,225304,81,0.00016141631931532174,21912,0.0005
1.47,1220,191.54,2762,0.7846083999999995,226728,82,0.0008400351507589221,22090,0.0005
1.46,1224,191.39,2761,0.7843424000000003,227008,82,0.0008475328795611858,22125,0.0005
1.48,1228,192.24,2761,0.7832708000000002,228136,82,0.002208186313509941,22266,0.0005
1.52,1232,193.17,2761,0.7826323999999997,228808,82,0.0012035679537802935,22350,0.0005
1.54,1236,193.87,2760,0.7819560000000003,229520,83,0.0016307656187564135,22439,0.0005
1.57,1240,195.19,2760,0.7812568000000002,230256,83,0.0002607800124678761,22531,0.0005
1.56,1244,195.37,2760,0.7802915999999999,231272,83,0.0008520974079146981,22658,0.0005
1.64,1248,198.7,2759,0.7793719999999997,232240,84,0.00018808580352924764,22779,0.0005
1.61,1252,197.18,2759,0.7785892000000005,233064,84,0.00608196621760726,22882,0.0005
1.64,1256,199.11,2759,0.7779280000000004,233760,84,0.004883678164333105,22969,0.0005
1.66,1260,199.65,2759,0.7771452000000001,234584,85,0.00024891027715057135,23072,0.0005
1.61,1264,197.69,2758,0.7763927999999995,235376,85,0.00014962497516535223,23171,0.0005
1.57,1268,195.82,2758,0.7754732000000005,236344,85,0.0071979970671236515,23292,0.0005
